country_code,indicator,indicator_kind,value,label,source,source_url,vintage_year,confidence_tier
GBR,overweight_prevalence_adult,prevalence,0.64,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
GBR,obesity_prevalence_child,prevalence,0.118,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
GBR,diabetes_prevalence,prevalence,0.08,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
GBR,diabetes_treatment_coverage,coverage,0.785,Share of adults with diabetes receiving treatment,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
GBR,hypertension_prevalence,prevalence,0.278,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
GBR,tfa_policy_status,policy,,Mandatory Limit,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DEU,obesity_prevalence_adult,prevalence,0.257,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DEU,obesity_prevalence_male,prevalence,0.268,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DEU,obesity_prevalence_female,prevalence,0.246,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DEU,obesity_prevalence_crude,prevalence,0.263,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DEU,overweight_prevalence_adult,prevalence,0.59,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DEU,obesity_prevalence_child,prevalence,0.092,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DEU,diabetes_prevalence,prevalence,0.095,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DEU,diabetes_treatment_coverage,coverage,0.812,Share of adults with diabetes receiving treatment,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DEU,hypertension_prevalence,prevalence,0.301,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DEU,tfa_policy_status,policy,,Mandatory Limit,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CAN,obesity_prevalence_adult,prevalence,0.273,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CAN,obesity_prevalence_male,prevalence,0.281,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CAN,obesity_prevalence_female,prevalence,0.265,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CAN,obesity_prevalence_crude,prevalence,0.278,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CAN,overweight_prevalence_adult,prevalence,0.624,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CAN,obesity_prevalence_child,prevalence,0.121,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CAN,diabetes_prevalence,prevalence,0.088,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CAN,diabetes_treatment_coverage,coverage,0.76,Share of adults with diabetes receiving treatment,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CAN,hypertension_prevalence,prevalence,0.264,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CAN,tfa_policy_status,policy,,Mandatory Ban,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
AUS,obesity_prevalence_adult,prevalence,0.304,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
AUS,obesity_prevalence_male,prevalence,0.31,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
AUS,obesity_prevalence_female,prevalence,0.298,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
AUS,obesity_prevalence_crude,prevalence,0.313,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
AUS,overweight_prevalence_adult,prevalence,0.652,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
AUS,obesity_prevalence_child,prevalence,0.128,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
AUS,diabetes_prevalence,prevalence,0.065,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
AUS,diabetes_treatment_coverage,coverage,0.745,Share of adults with diabetes receiving treatment,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
AUS,hypertension_prevalence,prevalence,0.259,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
AUS,tfa_policy_status,policy,,Voluntary Measures,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
IND,obesity_prevalence_adult,prevalence,0.098,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
IND,obesity_prevalence_male,prevalence,0.081,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
IND,obesity_prevalence_female,prevalence,0.115,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
IND,obesity_prevalence_crude,prevalence,0.074,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
IND,overweight_prevalence_adult,prevalence,0.24,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
IND,obesity_prevalence_child,prevalence,0.039,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
IND,diabetes_prevalence,prevalence,0.104,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
IND,diabetes_treatment_coverage,coverage,0.421,Share of adults with diabetes receiving treatment,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
IND,hypertension_prevalence,prevalence,0.31,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
IND,tfa_policy_status,policy,,Mandatory Limit,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CHN,obesity_prevalence_adult,prevalence,0.141,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CHN,obesity_prevalence_male,prevalence,0.152,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CHN,obesity_prevalence_female,prevalence,0.13,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CHN,obesity_prevalence_crude,prevalence,0.136,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CHN,overweight_prevalence_adult,prevalence,0.388,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CHN,obesity_prevalence_child,prevalence,0.084,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CHN,diabetes_prevalence,prevalence,0.112,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CHN,diabetes_treatment_coverage,coverage,0.52,Share of adults with diabetes receiving treatment,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CHN,hypertension_prevalence,prevalence,0.275,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
CHN,tfa_policy_status,policy,,Monitoring in Progress,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
BRA,obesity_prevalence_adult,prevalence,0.288,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
BRA,obesity_prevalence_male,prevalence,0.265,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
BRA,obesity_prevalence_female,prevalence,0.31,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
BRA,obesity_prevalence_crude,prevalence,0.281,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
BRA,overweight_prevalence_adult,prevalence,0.575,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
BRA,obesity_prevalence_child,prevalence,0.143,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
BRA,diabetes_prevalence,prevalence,0.088,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
BRA,diabetes_treatment_coverage,coverage,0.642,Share of adults with diabetes receiving treatment,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
BRA,hypertension_prevalence,prevalence,0.34,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
BRA,tfa_policy_status,policy,,Mandatory Limit,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
MEX,obesity_prevalence_adult,prevalence,0.361,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
MEX,obesity_prevalence_male,prevalence,0.318,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
MEX,obesity_prevalence_female,prevalence,0.402,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
MEX,obesity_prevalence_crude,prevalence,0.358,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
MEX,overweight_prevalence_adult,prevalence,0.682,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
MEX,obesity_prevalence_child,prevalence,0.175,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
MEX,diabetes_prevalence,prevalence,0.158,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
MEX,diabetes_treatment_coverage,coverage,0.58,Share of adults with diabetes receiving treatment,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
MEX,hypertension_prevalence,prevalence,0.295,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
MEX,tfa_policy_status,policy,,Mandatory Limit,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
FRA,obesity_prevalence_adult,prevalence,0.216,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
FRA,obesity_prevalence_male,prevalence,0.22,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
FRA,obesity_prevalence_female,prevalence,0.212,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
FRA,obesity_prevalence_crude,prevalence,0.222,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
FRA,overweight_prevalence_adult,prevalence,0.564,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
FRA,obesity_prevalence_child,prevalence,0.078,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
FRA,diabetes_prevalence,prevalence,0.068,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
FRA,diabetes_treatment_coverage,coverage,0.825,Share of adults with diabetes receiving treatment,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
FRA,hypertension_prevalence,prevalence,0.262,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
FRA,tfa_policy_status,policy,,Mandatory Limit,WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
USA,obesity_incidence_annual,incidence,0.01716,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
USA,diabetes_incidence_annual,incidence,0.00565,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2024,C
GBR,obesity_incidence_annual,incidence,0.0112,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
GBR,diabetes_incidence_annual,incidence,0.004,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2024,C
DEU,obesity_incidence_annual,incidence,0.01028,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
DEU,diabetes_incidence_annual,incidence,0.00475,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2024,C
CAN,obesity_incidence_annual,incidence,0.01092,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
CAN,diabetes_incidence_annual,incidence,0.0044,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2024,C
AUS,obesity_incidence_annual,incidence,0.01216,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
AUS,diabetes_incidence_annual,incidence,0.00325,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2024,C
IND,obesity_incidence_annual,incidence,0.00392,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
IND,diabetes_incidence_annual,incidence,0.0052,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2024,C
CHN,obesity_incidence_annual,incidence,0.00564,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
CHN,diabetes_incidence_annual,incidence,0.0056,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2024,C
BRA,obesity_incidence_annual,incidence,0.01152,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
BRA,diabetes_incidence_annual,incidence,0.0044,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2024,C
MEX,obesity_incidence_annual,incidence,0.01444,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
MEX,diabetes_incidence_annual,incidence,0.0079,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2024,C
FRA,obesity_incidence_annual,incidence,0.00864,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
FRA,diabetes_incidence_annual,incidence,0.0034,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2024,C
DNK,obesity_prevalence_adult,prevalence,0.143,"Adult obesity prevalence (BMI >= 30), age-standardised, both sexes",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DNK,obesity_prevalence_male,prevalence,0.155,"Adult obesity prevalence, male",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DNK,obesity_prevalence_female,prevalence,0.132,"Adult obesity prevalence, female",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DNK,obesity_prevalence_crude,prevalence,0.152,"Adult obesity prevalence, crude (not age-standardised)",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DNK,overweight_prevalence_adult,prevalence,0.469,"Adult overweight prevalence (BMI >= 25), age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DNK,obesity_prevalence_child,prevalence,0.053,Child and adolescent obesity prevalence (ages 5-19),WHO Global Health Observatory,https://www.who.int/data/gho,2024,A
DNK,diabetes_prevalence,prevalence,0.043,"Diabetes prevalence among adults, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2014,A
DNK,hypertension_prevalence,prevalence,0.326,"Hypertension prevalence among adults aged 30-79, age-standardised",WHO Global Health Observatory,https://www.who.int/data/gho,2019,A
DNK,obesity_incidence_annual,incidence,0.00572,"Annual incidence of adult obesity — NEW cases per year, per adult at risk","DERIVED, not published. WHO GHO reports prevalence; incidence is estimated as prevalence / 25 years mean duration, the steady-state relation I = P / D. Adult obesity is largely persistent once established, so the mean duration is long and the annual inflow is small relative to the standing pool. This is a stated modelling assumption with a wide plausible range (cohort studies put adult obesity incidence between roughly 1% and 3% a year); it is an input to be argued with, not an observation.",https://www.who.int/data/gho,2024,C
DNK,diabetes_incidence_annual,incidence,0.00215,"Annual incidence of adult diabetes — NEW cases per year, per adult at risk","DERIVED from WHO GHO diabetes prevalence on the same steady-state relation, using a 20-year mean duration. Stated assumption, not a published incidence.",https://www.who.int/data/gho,2014,C
