subgroup_code,country_code,share_of_diagnosed,eligible_factor,confidence_tier,source
cvd_mace_risk,DEU,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
cvd_mace_risk,CAN,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
cvd_mace_risk,AUS,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
cvd_mace_risk,IND,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
cvd_mace_risk,CHN,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
cvd_mace_risk,BRA,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
cvd_mace_risk,MEX,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
cvd_mace_risk,FRA,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,USA,0.53625,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,GBR,0.4587,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,DEU,0.49665,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,CAN,0.4356,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,AUS,0.42735,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,IND,0.5115,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,CHN,0.45375,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,BRA,0.561,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,MEX,0.48675,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,FRA,0.4323,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,USA,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,GBR,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,DEU,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,CAN,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,AUS,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,IND,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,CHN,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,BRA,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,MEX,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,FRA,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
obesity_all,USA,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
obesity_all,GBR,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
obesity_all,DEU,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
obesity_all,CAN,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
obesity_all,AUS,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
obesity_all,IND,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
obesity_all,CHN,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
obesity_all,BRA,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
obesity_all,MEX,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
obesity_all,FRA,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
diabesity,DNK,0.48,0.75,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
cvd_mace_risk,DNK,0.245,0.68,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
htn_osa,DNK,0.5379,0.72,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
severe_obesity,DNK,0.32,0.85,B,"Derived from WHO Global Health Observatory indicators by the analyst, in who_derived_obesity_subgroups_and_eligibility.csv: the country's adult obesity prevalence gives the prevalent obese population, and each clinical subgroup is a share of that population read off the corresponding WHO comorbidity indicator. The share is an observation-anchored derivation, not a directly published figure."
obesity_all,DNK,1.0,1.0,A,The whole prevalent obese population; no comorbidity restriction.
